X,Y,OBJECTID,LOCATION_NAME,ADDRESS,RACK_OWNER,RACKS_INSTALLED,RACK_TYPE,TOTAL_CAPACITY,COVERED,NEARBY_LIGHTING,WARD,EXTERNAL_,LATITUDE,LONGITUDE
588669.0394,4790408.9901,608,Mixed Media,1060 King Street West,ROW,1,Hammer Hoop,2,No,Yes,1,Yes,,
597150.9421,4781181.9423,609,Red hill Summit East Oark,50 Bellagio Ave,Municipal,1,Multi-Ring,14,No,No,9,Yes,,
593371.3125,4792951.5354,610,k,k,ROW,1,,5,Yes,No,1,Yes,,
590685.923,4800028.1544,611,Spring Rollout - Cranberry Park,,,,Hammer Hoop,,,,,Yes,,
590118.9723,4799422.0819,612,Spring Rollout - Gatesbury Park,,,,Hammer Hoop,,,,,Yes,,
590219.1505,4798147.1886,613,Smokey Hollow Waterfall,,,,Hammer Hoop,,,,,Yes,,
596579.9001,4782262.0911,614,Eramosa Karst Conservation Area,86 Upper Mount Albion Road,,1,Hammer Hoop,6,No,No,9,Yes,,
589668.1126,4784792.6306,615,Spring Rollout - William Connell Park,1086 West 5th Street,Park,1,Multi-Ring,14,No,No,8,Yes,,
589735.6526,4784719.9159,616,William Cornell Park,1086 West 5th Street,Park,1,Multi-Ring,14,No,No,8,Yes,,
589439.8236,4784818.6139,617,William Cornell Park,1086 West 5th Street,Park,1,Multi-Ring,14,No,No,8,Yes,,
584652.8187,4790902.8266,618,RBC,70 King St W,ROW,3,Bike Corral,6,No,Yes,13,Yes,,
584655.2043,4790912.2932,619,RBC - Ring & Post,70 King St W,ROW,2,Other,4,No,Yes,13,Yes,,
584548.8973,4790945.0444,620,Post Office,104 King St W,ROW,1,Hammer Hoop,2,No,Yes,13,Yes,,
585011.935,4790564.4928,621,Governor's Plaza,94 Main St,ROW,3,Bike Corral,6,No,Yes,13,Yes,,
584759.7512,4790931.1186,622,Municipal Lot 1D,45 King St W,ROW,3,Bike Corral,6,No,Yes,13,Yes,,
584758.5757,4790929.3684,623,Municipal Lot 1D - Ring & Post,45 King St W,ROW,4,Other,8,No,Yes,13,Yes,,
590361.0983,4789497.6977,624,Hairem Salon,256 Locke St,ROW,1,Hammer Hoop,2,No,Yes,1,Yes,,
593300.25,4790367.8133,625,Helping Hands,349 Barton St,ROW,2,Hammer Hoop,4,No,Yes,3,Yes,,
600506.8076,4786189.5099,626,Green Acres Pool,50 Randall Ave,Municipal,2,Hammer Hoop,4,No,Yes,5,Yes,,
585395.2257,4786481.2142,627,The Bungalows of Ancaster,Across from 851 Golf Links Rd,ROW,1,Hammer Hoop,2,No,Yes,12,Yes,,
597663.0845,4782931.9116,628,Valley Park Library,"970 Paramount Dr, Stoney Creek",Municipal,2,Multi-Ring,12,No,Yes,9,Yes,,
587940.9856,4790315.3162,629,McMaster University - Hospital - NE Corner,,School,1,Multi-Ring,112,No,Yes,1,Yes,,
585578.3305,4790720.395,630,Canadian Tire Parkette,,Private,1,Multi-Ring,8,No,Yes,13,Yes,,
582848.0965,4789940.7879,631,Sir William Osler Elementary School,"330 Governor's Road, Dundas",School,1,Multi-Ring,28,No,No,13,Yes,,
582801.2046,4789925.9262,632,Sir William Osler Elementary School,"330 Govenor's Road, Dundas",School,1,Multi-Ring,42,No,No,13,Yes,,
583092.0645,4789991.6838,633,Dundas Valley Secondary School,"310 Governor's Road, Dundas",School,1,Multi-Ring,16,No,Yes,13,Yes,,
583181.3156,4790018.4422,634,Dundas Valley Secondary School,310 Governor's Road,School,1,Bike Corral,24,No,Yes,13,Yes,,
583393.5771,4790061.9166,635,St. Bernadette’s Catholic Elementary,"270 Governor's Road, Dundas",School,1,Multi-Ring,22,No,Yes,13,Yes,,
590275.3576,4790543.4274,636,Tim Hortons / King & Dundurn,624 King Street West,ROW,1,Hammer Hoop,6,No,Yes,1,Yes,,
596661.9067,4788365.2336,637,Plaza @ 45 Kenilworth,45 Kenilworth Avenue North,ROW,1,Hammer Hoop,2,No,Yes,4,Yes,,
592224.9637,4789648.3716,638,"Bike Parking Request: Fit Barre, SOUS BAR",145 King Street East,ROW,1,Hammer Hoop,4,No,Yes,2,Yes,,
592551.7675,4785690.9428,639,Limeridge mall ,999 Upper Wentworth St,,2,Hammer Hoop,4,Yes,Yes,7,Yes,,
591644.2575,4790091.9508,640,Roof of Jackson Square,110 King Street West,Municipal,1,Multi-Ring,8,No,Yes,2,Yes,,
592603.1794,4785628.2364,641,Limeridge mall,999 Upper Wentworth St,,1,Multi-Ring,8,No,Yes,7,Yes,,
592506.0452,4785534.3564,642,Limeridge mall ,999 Upper Wentworth St,,2,Hammer Hoop,4,No,Yes,7,Yes,,
592486.8067,4785467.0021,643,Limeridge mall ,999 Upper Wentworth St,,2,Hammer Hoop,4,No,Yes,7,Yes,,
592456.4711,4785723.2394,644,Limeridge Mall,999 Upper Wentworth St,,1,Multi-Ring,4,No,Yes,7,Yes,,
591931.696,4790338.9832,645,Miller Shoes,130 Jamest Street North,ROW,1,Hammer Hoop,2,No,Yes,2,Yes,,
592102.3214,4789669.378,646,Landmark Place,100 Main Street East,ROW,1,Hammer Hoop,4,No,No,2,Yes,,
594854.2606,4789837.6815,647,Bucko Flooring,779 Barton Street East,ROW,1,Hammer Hoop,2,No,Yes,3,Yes,,
583191.981,4786650.1776,648,Coach and Lantern,386 Wilson St E.,ROW,1,Hammer Hoop,2,No,Yes,12,Yes,,
583139.9247,4786517.6688,649,Caniche French Bakery,346 Wilson Street East,ROW,1,Hammer Hoop,2,No,Yes,12,Yes,,
583110.0952,4786440.6761,650,Family Physicians,326 Wilson Street E.,ROW,1,Hammer Hoop,2,No,Yes,12,Yes,,
596674.0259,4788197.4595,651,Dr. John Perkins Centre,1429 Main Street East Hamilton,ROW,1,Hammer Hoop,4,No,Yes,4,Yes,43.240502,-79.80923
587058.9256,4790443.717,652,McMaster - Human Resources Building,,School,2,Multi-Ring,20,No,Yes,1,Yes,,
587441.7049,4790583.5402,653,McMaster University - Mary Keyes Residence - East,,School,5,Multi-Ring,40,No,Yes,1,Yes,,
587501.3151,4790621.9199,654,,,School,1,Multi-Ring,14,No,No,1,Yes,,
587476.9952,4790565.738,655,McMaster University - Matthews Hall - NE Courtyard,,School,1,Multi-Ring,8,No,Yes,1,Yes,,
587471.4588,4790572.8996,656,McMaster University - Matthews Hall - NE Courtyard,,School,1,Multi-Ring,8,No,Yes,1,Yes,,
587482.4708,4790511.5963,657,McMaster University - Mary Keyes Residence - East,,School,1,Multi-Ring,20,No,No,1,Yes,,
587608.9252,4790531.9253,658,McMaster University - Burke Science Building - North,,School,1,Multi-Ring,71,No,Yes,1,Yes,,
587709.7273,4790568.7416,659,McMaster University - Green Commons,,School,1,Multi-Ring,96,No,Yes,1,Yes,,
587762.0196,4790598.1742,660,McMaster University - Student Centre,,School,1,Multi-Ring,24,No,Yes,1,Yes,,
587745.6388,4790692.6111,661,McMaster University - Edwards Hall - SE Corner,,School,1,Multi-Ring,48,No,Yes,1,Yes,,
587761.5702,4790725.7541,662,McMaster University - Secure Facility - Chester New Hall,,Secure,1,Other,96,No,Yes,1,Yes,,
587796.478,4790754.8715,663,McMaster University - Togo Salmon Hall - North,,School,1,Multi-Ring,72,No,Yes,1,Yes,,
587941.5479,4790670.8259,664,McMaster University - Degroote School of Business,,School,1,Multi-Ring,24,No,Yes,1,Yes,,
587933.8979,4790760.2964,665,McMaster University - McInnes Library,,School,1,Multi-Ring,64,No,Yes,1,Yes,,
587988.6268,4790781.539,666,McMaster University - David Braley Athletic Centre,,,1,Multi-Ring,112,No,Yes,1,Yes,,
588033.1808,4790788.3628,667,McMaster University - Ivor Wynn Centre,,School,1,Multi-Ring,32,No,Yes,1,Yes,,
588061.9477,4790867.4365,668,McMaster University - Ivor Wynn Centre,,School,1,Multi-Ring,30,No,No,1,Yes,,
588119.8934,4790997.173,669,McMaster University - Alumni Field - East,,School,1,Multi-Ring,32,No,Yes,1,Yes,,
588126.0804,4791106.9255,670,McMaster University - High Altitude Tower,,School,1,Multi-Ring,8,No,Yes,1,Yes,,
587770.974,4790916.7813,671,,,,1,Multi-Ring,16,No,Yes,1,Yes,,
587737.8976,4790873.4665,672,,,School,1,Multi-Ring,52,Yes,Yes,1,Yes,,
587721.408,4790909.8069,673,,,School,1,Multi-Ring,8,No,Yes,1,Yes,,
587693.661,4790910.6429,674,McMaster University - Brandon Hall,,School,1,Multi-Ring,24,No,Yes,1,Yes,,
587719.459,4790821.5518,675,,,School,1,Multi-Ring,14,No,Yes,1,Yes,,
587786.0217,4790304.1533,676,McMaster University - Hospital - Secure Bike Locker,,Secure,1,Other,2,Yes,Yes,1,Yes,,
584586.7918,4791267.1634,677,Dundas Central Elementary,73 Melville Street,School,1,Multi-Ring,36,No,No,13,Yes,,
591798.253,4790277.2553,678,York Boulevard Parkade - Secure Bike Cage,28 York Boulevard,Secure,1,Other,43,Yes,Yes,2,Yes,,
592012.2038,4790059.0609,679,Horizon Utilities - Secure Bike Parking,55 John Street,Private,1,Other,10,Yes,Yes,2,Yes,,
591870.5222,4790053.6696,680,Lister Block - Secure Bike Parking,28 James Street North,Secure,1,Other,20,Yes,Yes,2,Yes,,
